company,category,domain,region_fit,note
Anheuser-Busch,beer,,st_louis_hq,"Client list reads 'Anheuser-Busch or its St. Louis distributor'. Two different legal entities with two different sponsorship desks. Client picks one."
4 Hands Brewing,beer,4handsbrewery.com,st_louis_local,
Schlafly Beer,beer,schlafly.com,st_louis_local,
BeatBox Beverages,rtd_alcohol,beatboxbeverages.com,national,"Festival-native brand. Age-gated activation."
Liquid Death,water,liquiddeath.com,national,"Heavy music-festival activation history."
Electrolit,hydration,electrolit.com,national,
Celsius,energy,celsius.com,national,
C4 Energy,energy,c4energy.com,national,
Ghost Energy,energy,ghostlifestyle.com,national,
Proper Cannabis,cannabis,,missouri,"Compliance-gated category. Domain not supplied."
Good Day Farm,cannabis,,missouri,"Compliance-gated category. Domain not supplied."
Greenlight Dispensary,cannabis,,missouri,"Compliance-gated category. Domain not supplied."
Head Change,cannabis,,unknown,"Ambiguous entity. Several unrelated businesses use this name."
Bass Pro Shops,camping_outdoor,basspro.com,missouri_hq,
Coleman,camping_outdoor,coleman.com,national,
Jackery,portable_power,jackery.com,national,
EcoFlow,portable_power,ecoflow.com,national,
Casey's,convenience_fuel,caseys.com,midwest,
QuikTrip,convenience_fuel,quiktrip.com,midwest,
Schnucks,grocery,schnucks.com,st_louis_local,
Together Credit Union,finance,togethercu.org,st_louis_local,
First Community Credit Union,finance,firstcommunity.com,st_louis_local,
Imo's Pizza,food,imospizza.com,st_louis_local,
Drury Hotels,hospitality,druryhotels.com,st_louis_hq,
Explore St. Louis,tourism,explorestlouis.com,st_louis_local,
